MULTIPLIER,BRAND,BRAND_BELONGS_TO_CATEGORY,RECEIPTS
,caseys gen store,tobacco products,2950931
,caseys gen store,mature,2859240
,equate,hair removal,893268
,palmolive,bath  body,542562
,dawn,bath  body,301844
,barbasol,hair removal,283926
,kroger,bakery,251276
,skintimate,hair removal,227224
,dawn platinum,bath  body,143596
,kirkland signature,bath  body,131371
,red bull,carbonated soft drinks,100808
,cocacola,carbonated soft drinks,97427
,ajax,bath  body,88331
,equate,bath  body,80505
,dr pepper,carbonated soft drinks,77880
,bodycology,body fragrances,75527
,kinders,dips  salsa,73657
,body fantasies,body fragrances,73205
,mountain dew,carbonated soft drinks,68610
,monster,carbonated soft drinks,65880
,ucreate,household supplies,65185
,starbucks,coffee,63028
,gain,bath  body,59469
,kraft,prepared meals,53760
,pepsi,carbonated soft drinks,53604
,little debbie,snack cakes,51259
,up and up,bath  body,50136
,hersheys,candy,50098
,staedtler,makeup,49613
,mightygood,bath  body,49127
,dailys,wine,48829
,publix malta,beer,48266
,bic,household supplies,48197
,true living,bath  body,47074
,chi chis,spirits,47072
,xtra,bath  body,46505
,marketside,bakery,43628
,lays,chips,42497
,clorox,bath  body,41897
,reeses,candy,41077
,kraft,cheese,41039
,powerade,sports drinks,40210
,cvs,medicines  treatments,39210
,old el paso,cooking  baking,38613
,cheetos,puffed snacks,38007
,kinders,cooking  baking,37398
,mms,candy,37241
,crazart,makeup,36901
,mcalisters deli,prepared meals,36533
,star wars,bath  body,35649
,gatorade,sports drinks,34829
,betty crocker,cooking  baking,33210
,eggo,frozen breakfast,32816
,fireball,spirits,32463
,coors light,beer,31672
,natures own,bread,29534
,pringles,chips,29529
,trueliving,bath  body,29345
,las totally awesome,bath  body,29278
,jif,nut butters  jam,29274
,goya,cooking  baking,28252
,nestle drumstick,frozen desserts,28031
,tropicana,fruit juices,27933
,ole smoky,spirits,27768
,kelloggs,frozen desserts,27702
,rexall,bath  body,27446
,michelob ultra,beer,27391
,baby soft,baby bathing,27323
,quaker,cereal granola  toaster pastries,26887
,yoplait,yogurt,26573
,thomas,bread,26490
,barilla,dry pasta,25852
,ruffles,chips,25446
,tyson,frozen chicken,25421
,gatorade,medicines  treatments,25275
,studio selection,hair removal,25163
,dg home,bath  body,24832
,corona,beer,24581
,heb,bath  body,24185
,cocacola zero,carbonated soft drinks,23955
,shorts variety pack,beer,23822
,snickers,candy,23740
,sargento,cheese,22912
,canada dry,carbonated soft drinks,22903
,arizona,tea,22839
,bud light,beer,22660
,dg body,hair removal,22407
,yuengling,beer,22243
,entenmanns,snack cakes,21898
,instacart,medicines  treatments,21745
,great value,household supplies,21491
,mcalisters deli,leafy salads,21413
,tostitos,chips,21401
,sparkling ice,water,21370
,planters,nuts  seeds,21293
,doritos,chips,21250
,pepperidge farm,bread,21244
,dole,cooking  baking,21201
,perdue,frozen chicken,21003
,joy,bath  body,20950
,la vostra,wine,20765
,smart care,household supplies,20538
,bells,beer,20510
,captain morgan,spirits,20410
,mission,bread,20283
,write dudes,household supplies,20155
,hostess,snack cakes,20047
,barcel takis,chips,19778
,mcalisters deli,tea,19776
,doritos,fruit  vegetable snacks,19733
,lays,chips,19665
,gasolina,spirits,19597
,wet ones,bath  body,19489
,best brands,bath  body,19308
,rc,carbonated soft drinks,18869
,caseys gen store,candy,18755
,staedtler,household supplies,18633
,sun,bath  body,18475
,pure silk,hair removal,18292
,velveeta,cheese,18211
,sara lee,bread,18136
,dogfish head,beer,18094
,sprite,carbonated soft drinks,18091
,ben and jerrys,frozen desserts,18085
,pillsbury,refrigerated doughs,17488
,kings hawaiian,bread,17460
,ush blueberries,fruit  vegetable snacks,17404
,studio selection,bath  body,17378
,aquafina,water,17209
,breyers,frozen desserts,16732
,innovations,bath  body,16729
,tower vodka,spirits,16644
,margaritaville,malt beverages,16638
,bodyarmor,sports drinks,16466
,ocean spray,fruit juices,16428
,mcalisters deli,wine,16286
,sprite zero,carbonated soft drinks,16224
,roni,rice  grains,16172
,haagendazs,frozen desserts,16090
,colgate toothpaste,oral care,16047
,borrasca,wine,16024
,twix,candy,16006
,malibu rtd,spirits,15919
,heinz,sauces  marinades,15913
,dove,bath  body,15821
,simply lemonade,fruit juices,15810
,skittles,candy,15809
,dish works,bath  body,15794
,dawn ez squeeze,bath  body,15761
,minute maid,fruit juices,15542
,caseys gen store,energy drinks,15351
,kelloggs,cereal granola  toaster pastries,15322
,kelloggs,packaged vegetables,15124
,miller lite,beer,14951
,good chemistry,deodorant  antiperspirant,14938
,stella rosa,wine,14729
,capri sun,fruit juices,14493
,hellmannsbest foods,condiments,14461
,lifesavers,candy,14431
,neutrogena,hair removal,14188
,snyders of hanover,pretzels,14162
,dawn simply clean,bath  body,14154
,wegmans,bath  body,14036
,cheez it,crackers,13919
,chobani,yogurt,13790
,glaceau,water,13782
,white claw hard seltzer,hard seltzers sodas waters lemonades  teas,13614
,kit kat,candy,13468
,arm  hammer,hair care,13316
,tyson,packaged meat,13220
,gamesa,candy,13176
,oscar mayer,prepared meals,13151
,totinos,frozen pizza  pizza snacks,12992
,modelo,beer,12918
,predo,wine,12917
,extra,gum,12828
,gillette venus,hair removal,12805
,caseys gen store,cookies,12766
,smirnoff ice,malt beverages,12684
,smirnoff,spirits,12404
,heineken,beer,12374
,knorr,cooking  baking,12359
,gold peak,tea,12342
,prego,red pasta sauce,12265
,crest,oral care,12191
,luxury edition,wine,12165
,lance,fruit  vegetable snacks,11858
,starburst,candy,11713
,hersheys whoppers,candy,11605
,jimmy dean,cereal granola  toaster pastries,11604
,ed,wine,11404
,frito lay,chips,11380
,clorox fraganzia,bath  body,11301
,mcalisters deli,fruit juices,11220
,belvino,wine,11218
,baileys,spirits,11177
,heinz,condiments,11135
,parents choice,bath  body,11123
